iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
124,95,accepted,0,0.0789013,0.00252435,0.00020181,0.000175348,0.000179158,0.000179158,0,0,0,0.0112245,0.050095,0.0250726,0.0250223,,best_validation_checkpoint_1.bin
125,96,accepted,1,0.011052,0.00126218,0.000199363,0.000173135,0.000176926,0.000176926,0.864685,0.0529463,0.809946,0.0102402,0.0485164,0.0249271,0.0235892,,best_validation_checkpoint_0.bin
126,97,accepted,1,0.00467964,0.000631089,0.000195053,0.000169082,0.000172813,0.000172813,0.86955,0.0540418,0.813689,0.0108971,0.0498678,0.0250419,0.0248258,,best_validation_checkpoint_1.bin
127,97,rejected,1,0.0238802,0.00631089,0.000195053,0.000169082,0.000172813,0.000172813,0.897055,0.0546177,0.840658,0.0100063,0.0127638,0.0127636,0,,
128,98,accepted,0,0.0238802,0.00315544,0.000193965,0.000168606,0.000172326,0.000172326,0,0,0,0.0110881,0.0499617,0.025297,0.0246646,,best_validation_checkpoint_0.bin
129,99,accepted,1,0.00293326,0.00157772,0.000192218,0.00016701,0.000170713,0.000170713,0.891238,0.0582203,0.831195,0.0104002,0.0495074,0.025047,0.0244602,,best_validation_checkpoint_1.bin
130,100,accepted,1,0.00149424,0.000788861,0.000188946,0.000164047,0.000167701,0.000167701,0.903031,0.0557192,0.845652,0.0105643,0.0480175,0.0252762,0.0227411,,best_validation_checkpoint_0.bin
131,101,accepted,1,0.00768569,0.00039443,0.000185506,0.000158367,0.000161918,0.000161918,0.92326,0.0581134,0.863485,0.010654,0.049318,0.0249702,0.0243478,,best_validation_checkpoint_1.bin
132,101,rejected,1,0.160933,0.0039443,0.000185506,0.000158367,0.000161918,0.000161918,0.915447,0.0530703,0.860607,0.0109235,0.0126042,0.0126039,0,,
133,102,accepted,0,0.160933,0.00197215,0.000181836,0.000157986,0.000161516,0.000161516,0,0,0,0.0114975,0.0508155,0.026225,0.0245904,,best_validation_checkpoint_0.bin
134,103,accepted,1,0.0233937,0.000986076,0.000179396,0.000155808,0.000159307,0.000159307,0.914886,0.0544443,0.858809,0.0105838,0.0496505,0.0250564,0.0245939,,best_validation_checkpoint_1.bin
135,104,accepted,1,0.0105571,0.000493038,0.000175712,0.000151855,0.000155276,0.000155276,0.892776,0.0532429,0.83784,0.0104594,0.0502459,0.0250923,0.0251534,,best_validation_checkpoint_0.bin
136,104,rejected,1,0.0603684,0.00493038,0.000175712,0.000151855,0.000155276,0.000155276,0.887359,0.0533645,0.832342,0.0115324,0.0130757,0.0130757,0,,
137,105,accepted,0,0.0603684,0.00246519,0.000174205,0.000151506,0.000154911,0.000154911,0,0,0,0.0110913,0.0494367,0.0249632,0.0244734,,best_validation_checkpoint_1.bin
138,106,accepted,1,0.00837269,0.0012326,0.000172505,0.000149953,0.000153334,0.000153334,0.893706,0.053278,0.838665,0.0100453,0.0503859,0.0255979,0.0247879,,best_validation_checkpoint_0.bin
