iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
107,82,accepted,1,0.0229109,0.00206795,0.000378088,0.000198251,0.000201188,0.000201188,0.868835,0.0548204,0.812151,0.0121402,0.0506596,0.0252901,0.0253694,,best_validation_checkpoint_1.bin
108,83,accepted,1,0.0096479,0.00103398,0.000370533,0.000193967,0.000196881,0.000196881,0.845218,0.0559119,0.78738,0.0115029,0.0499294,0.0253618,0.0245675,,best_validation_checkpoint_0.bin
109,83,rejected,1,0.0380317,0.0103398,0.000370533,0.000193967,0.000196881,0.000196881,0.856442,0.0557151,0.798975,0.0107324,0.0126827,0.0126825,0,,
110,84,accepted,0,0.0380317,0.00516988,0.000368665,0.000193426,0.00019632,0.00019632,0,0,0,0.0111798,0.0479217,0.0253215,0.0226002,,best_validation_checkpoint_1.bin
111,85,accepted,1,0.00427395,0.00258494,0.000365595,0.000191727,0.000194617,0.000194617,0.841392,0.0552238,0.784164,0.0105132,0.0484087,0.0254422,0.0229664,,best_validation_checkpoint_0.bin
112,86,accepted,1,0.00244718,0.00129247,0.000359784,0.000188549,0.000191413,0.000191413,0.845491,0.0542673,0.789379,0.0113295,0.0497855,0.025275,0.0245105,,best_validation_checkpoint_1.bin
113,87,accepted,1,0.0120432,0.000646235,0.000351614,0.00018243,0.000185241,0.000185241,0.856133,0.0544991,0.799818,0.0105635,0.0505092,0.0255416,0.0249674,,best_validation_checkpoint_0.bin
114,87,rejected,1,0.189907,0.00646235,0.000351614,0.00018243,0.000185241,0.000185241,0.850483,0.0532847,0.79532,0.0109536,0.0132039,0.0132037,0,,
115,88,accepted,0,0.189907,0.00323117,0.000346879,0.000181851,0.000184616,0.000184616,0,0,0,0.0110494,0.0500933,0.0254337,0.0246595,,best_validation_checkpoint_1.bin
116,89,accepted,1,0.0279922,0.00161559,0.000342517,0.000179473,0.000182222,0.000182222,0.834723,0.0544086,0.778524,0.0114768,0.0503704,0.0254766,0.0248937,,best_validation_checkpoint_0.bin
117,90,accepted,1,0.0132879,0.000807794,0.00033509,0.000175119,0.000177822,0.000177822,0.845395,0.054201,0.789356,0.0109749,0.0492301,0.025141,0.0240891,,best_validation_checkpoint_1.bin
118,90,rejected,1,0.0605455,0.00807794,0.00033509,0.000175119,0.000177822,0.000177822,0.8497,0.0538059,0.794054,0.0111754,0.0127351,0.0127348,0,,
119,91,accepted,0,0.0605455,0.00403897,0.000332945,0.000174587,0.000177265,0.000177265,0,0,0,0.0111385,0.0498393,0.0252486,0.0245907,,best_validation_checkpoint_0.bin
120,92,accepted,1,0.00779653,0.00201948,0.000329816,0.000172866,0.000175532,0.000175532,0.850167,0.0551772,0.793218,0.0116405,0.0494532,0.0254674,0.0239857,,best_validation_checkpoint_1.bin
121,93,accepted,1,0.00387789,0.00100974,0.000323975,0.000169648,0.000172276,0.000172276,0.828595,0.0536186,0.773049,0.0103035,0.0506626,0.025589,0.0250735,,best_validation_checkpoint_0.bin
122,94,accepted,1,0.0173237,0.000504871,0.000318469,0.000163471,0.000166017,0.000166017,0.859956,0.0541077,0.80398,0.0111822,0.0505467,0.025798,0.0247485,,best_validation_checkpoint_1.bin
123,94,rejected,1,0.330257,0.00504871,0.000318469,0.000163471,0.000166017,0.000166017,0.859697,0.0555467,0.802304,0.0120533,0.0128668,0.0128666,0,,
124,95,accepted,0,0.330257,0.00252435,0.000311189,0.000162913,0.000165403,0.000165403,0,0,0,0.0116129,0.0494675,0.0251806,0.0242869,,best_validation_checkpoint_0.bin
125,96,accepted,1,0.0503486,0.00126218,0.000306642,0.000160534,0.000162996,0.000162996,0.863403,0.0567906,0.804771,0.0113992,0.0494145,0.0255755,0.0238388,,best_validation_checkpoint_1.bin
126,97,accepted,1,0.0226462,0.000631089,0.000299727,0.000156159,0.00015856,0.00015856,0.83758,0.0534261,0.78235,0.0122826,0.0500329,0.0253651,0.0246676,,best_validation_checkpoint_0.bin
127,97,rejected,1,0.104521,0.00631089,0.000299727,0.000156159,0.00015856,0.00015856,0.849338,0.0546949,0.792801,0.011163,0.0127801,0.0127799,0,,
128,98,accepted,0,0.104521,0.00315544,0.000297049,0.000155653,0.000158025,0.000158025,0,0,0,0.0120603,0.0496627,0.0253881,0.0242745,,best_validation_checkpoint_1.bin
129,99,accepted,1,0.0147653,0.00157772,0.000293889,0.000153932,0.000156285,0.000156285,0.85744,0.0534175,0.80211,0.0111688,0.0502512,0.025435,0.0248161,,best_validation_checkpoint_0.bin
130,100,accepted,1,0.00657718,0.000788861,0.000288153,0.000150721,0.000153027,0.000153027,0.817157,0.0535291,0.761766,0.0115455,0.0501706,0.0255912,0.0245793,,best_validation_checkpoint_1.bin
131,101,accepted,1,0.0267483,0.00039443,0.000288137,0.00014457,0.000146773,0.000146773,0.843945,0.0546165,0.787373,0.0113785,0.0504371,0.025539,0.0248981,,best_validation_checkpoint_0.bin
132,101,rejected,1,0.588916,0.0039443,0.000288137,0.00014457,0.000146773,0.000146773,0.848293,0.0547988,0.791671,0.010966,0.0128354,0.0128353,0,,
133,102,accepted,0,0.588916,0.00197215,0.000275864,0.000144113,0.000146255,0.000146255,0,0,0,0.0114222,0.0504408,0.0255482,0.0248925,,best_validation_checkpoint_1.bin
134,103,accepted,1,0.0869398,0.000986076,0.000271145,0.000141745,0.000143847,0.000143847,0.833805,0.0544172,0.777559,0.0111278,0.0499888,0.0253304,0.0246584,,best_validation_checkpoint_0.bin
135,104,accepted,1,0.0421076,0.000493038,0.000265775,0.000137432,0.000139462,0.000139462,0.852825,0.0536979,0.797301,0.0108056,0.0499992,0.025268,0.0247311,,best_validation_checkpoint_1.bin
136,104,rejected,1,0.229924,0.00493038,0.000265775,0.000137432,0.000139462,0.000139462,0.830216,0.0547309,0.773341,0.0107542,0.0128925,0.0128925,0,,
137,105,accepted,0,0.229924,0.00246519,0.000261722,0.000136984,0.000138981,0.000138981,0,0,0,0.0111211,0.050264,0.0252432,0.0250206,,best_validation_checkpoint_0.bin
138,106,accepted,1,0.0344162,0.0012326,0.000258539,0.000135287,0.000137258,0.000137258,0.859413,0.0536382,0.803919,0.0113474,0.0504425,0.025587,0.0248554,,best_validation_checkpoint_1.bin
