beta,N,h,dt,time,method,saturation_min,saturation_max,total_L1,discretization_L1,vs_discrete_L1,vs_discrete_over_discretization_L1,total_L2,discretization_L2,vs_discrete_L2,vs_discrete_over_discretization_L2,total_Linf,discretization_Linf,vs_discrete_Linf,vs_discrete_over_discretization_Linf
1,400,2.5,2.5,200.0,SRDM,0.05,0.25,0.000868427795311854,0.0008684277953122124,1.1340928196545974e-15,1.3059149255429745e-12,0.006353427547907681,0.0063534275479066775,4.052553478115192e-15,6.378531033143558e-13,0.06643626778830344,0.06643626778833511,4.095335182086046e-14,6.164306512722416e-13
1,400,2.5,2.5,200.0,CRIS,0.05010867748425737,0.2503438703395621,0.0010123197094866578,0.0008684277953122124,0.00019372008072300557,0.22306987612408283,0.006430275321146202,0.0063534275479066775,0.0003502880817923913,0.05513371784774723,0.06707263398029106,0.06643626778833511,0.003022087006733301,0.04548851263532175
1,800,1.25,1.25,100.0,SRDM,0.05,0.25,0.0004342138976559327,0.0004342138976564215,8.766945502891588e-16,2.0190384393980335e-12,0.004492551702903016,0.004492551702902306,2.909859120679626e-15,6.477074306790462e-13,0.06643626778830344,0.06643626778833511,4.095335182086046e-14,6.164306512722416e-13
1,800,1.25,1.25,100.0,CRIS,0.05010867748425563,0.25035048319627845,0.0005906834013728868,0.0004342138976564215,0.00018142451465792515,0.4178229108674917,0.0045490642551066236,0.004492551702902306,0.0002849144519546521,0.06341929281984443,0.06707393193770696,0.06643626778833511,0.003023384964149195,0.04550804951569
1,800,1.25,1.25,200.0,SRDM,0.05,0.25,0.00039410575953560846,0.00039410575953601244,1.4613744242497616e-15,3.708076801440971e-12,0.004110047238919574,0.004110047238917608,7.96592470907032e-15,1.9381589178931595e-12,0.07161121660496626,0.07161121660485036,1.1590728377086634e-13,1.618563254000292e-12
1,800,1.25,1.25,200.0,CRIS,0.050219595719376266,0.25069774719334786,0.0007121306928701324,0.00039410575953601244,0.0003861434151223769,0.9797964271747519,0.0044016688229086744,0.004110047238917608,0.0008577808148503838,0.20870339560288914,0.08302851832305717,0.07161121660485036,0.011417301718206818,0.1594345447474705
1,1600,0.625,0.625,100.0,SRDM,0.05,0.25,0.00019705287976780992,0.0001970528797683892,1.1079895681498364e-15,5.622803226484882e-12,0.0029062422736371284,0.002906242273635738,5.6663565968724985e-15,1.9497192812434836e-12,0.07161121660496626,0.07161121660485036,1.1590728377086634e-13,1.618563254000292e-12
1,1600,0.625,0.625,100.0,CRIS,0.050219595719374,0.25069901930274374,0.000525788531721414,0.0001970528797683892,0.00036279751494984165,1.8411175486309277,0.003125143559177566,0.002906242273635738,0.0006686340276902625,0.23006823407526678,0.08302878633523085,0.07161121660485036,0.011417569730380495,0.15943828734795104
1,1600,0.625,0.625,200.0,SRDM,0.05,0.25,0.00021475581484949863,0.00021475581485005886,1.6058205112856605e-15,7.477425057881827e-12,0.003223063672608186,0.003223063672604959,1.3565416322872884e-14,4.208857689711411e-12,0.0869568733693019,0.08695687336901824,2.836619827917275e-13,3.2620996110100835e-12
1,1600,0.625,0.625,200.0,CRIS,0.050448197404945265,0.251390840637181,0.0008655078054220128,0.00021475581485005886,0.0007734237912615133,3.6014102426121166,0.004412537337841164,0.003223063672604959,0.002202680606303674,0.6834120669181238,0.12748320743996983,0.08695687336901824,0.0427731064864479,0.4918887355221707
1,3200,0.3125,0.3125,100.0,SRDM,0.05,0.25,0.00010737790742474362,0.00010737790742540104,1.1802126116677859e-15,1.0991205174003957e-11,0.0022790501790971615,0.002279050179094879,9.611965400169988e-15,4.217531271728016e-12,0.0869568733693019,0.08695687336901824,2.836619827917275e-13,3.2620996110100835e-12
1,3200,0.3125,0.3125,100.0,CRIS,0.05044819740494425,0.2513908988817288,0.0007746902588016033,0.00010737790742540104,0.000728648282699354,6.785830532277506,0.0031705519131698897,0.002279050179094879,0.001656217776179791,0.726714045777419,0.1274832164268181,0.08695687336901824,0.04277311596628043,0.49188884453980397
