method,scheme,u1_initial,u2_initial,initial_exact_domain,map_converged,lower_capture,nonlinear_updates,lower_max_error,physical_residual_inf,status
exact,picard,2.3,0.03333333333333333,True,True,True,28,5.0594195499797934e-11,4.0462744266278605e-11,map_converged
exact,picard,2.3333333333333335,0.03333333333333333,True,True,True,28,5.380784706687791e-11,4.2351955276132e-11,map_converged
exact,picard,2.3666666666666667,0.03333333333333333,True,True,True,28,5.727218699291825e-11,4.438854839250439e-11,map_converged
exact,picard,2.4,0.03333333333333333,True,True,True,28,6.104472483059453e-11,4.660627439534437e-11,map_converged
exact,picard,2.433333333333333,0.03333333333333333,True,True,True,28,6.520783912833394e-11,4.9053594519676835e-11,map_converged
exact,picard,2.466666666666667,0.03333333333333333,True,True,True,28,6.988543077568465e-11,5.180339490706842e-11,map_converged
exact,picard,2.5,0.03333333333333333,True,True,True,28,7.528289103220231e-11,5.497641231144712e-11,map_converged
exact,picard,2.533333333333333,0.03333333333333333,True,True,True,29,3.478084487085198e-11,2.500510909442255e-11,map_converged
exact,picard,2.5666666666666664,0.03333333333333333,True,True,True,29,3.839706330666104e-11,2.71309641419748e-11,map_converged
exact,picard,2.6,0.03333333333333333,True,True,True,29,4.4472203697409896e-11,3.0702329567589004e-11,map_converged
exact,picard,2.6333333333333333,0.03333333333333333,False,False,False,0,1.3828457157050362,1.3783895113513573,undefined_or_diverged
exact,picard,2.6666666666666665,0.03333333333333333,False,False,False,0,1.3828457157050362,1.3867228446846906,undefined_or_diverged
exact,picard,2.7,0.03333333333333333,False,False,False,0,1.3828457157050362,1.3950561780180242,undefined_or_diverged
exact,picard,2.7333333333333334,0.03333333333333333,False,False,False,0,1.3828457157050362,1.4033895113513575,undefined_or_diverged
exact,picard,2.7666666666666666,0.03333333333333333,False,False,False,0,1.3828457157050362,1.4117228446846908,undefined_or_diverged
exact,picard,2.8,0.03333333333333333,False,False,False,0,1.3838209509616302,1.420056178018024,undefined_or_diverged
exact,picard,2.8333333333333335,0.03333333333333333,False,False,False,0,1.4171542842949638,1.4283895113513574,undefined_or_diverged
exact,picard,2.8666666666666667,0.03333333333333333,False,False,False,0,1.450487617628297,1.4367228446846907,undefined_or_diverged
exact,picard,2.9,0.03333333333333333,False,False,False,0,1.4838209509616302,1.445056178018024,undefined_or_diverged
exact,picard,2.933333333333333,0.03333333333333333,False,False,False,0,1.5171542842949635,1.4533895113513573,undefined_or_diverged
exact,picard,2.966666666666667,0.03333333333333333,False,False,False,0,1.5504876176282971,1.4617228446846906,undefined_or_diverged
exact,picard,3.0,0.03333333333333333,False,False,False,0,1.5838209509616303,1.470056178018024,undefined_or_diverged
exact,picard,0.0,0.06666666666666667,True,True,True,27,1.0280065687595652e-10,3.5718206170543e-11,map_converged
exact,picard,0.03333333333333333,0.06666666666666667,True,True,True,27,1.0083778256841924e-10,3.456429586989884e-11,map_converged
exact,picard,0.06666666666666667,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.3401947874267535e-11,map_converged
exact,picard,0.1,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.3900215967719305e-11,map_converged
exact,picard,0.13333333333333333,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.4402480864059726e-11,map_converged
exact,picard,0.16666666666666666,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.490852051868387e-11,map_converged
exact,picard,0.2,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.5418779020801594e-11,map_converged
exact,picard,0.23333333333333334,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.593325637041289e-11,map_converged
exact,picard,0.26666666666666666,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.6451952567517765e-11,map_converged
exact,picard,0.3,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.697508965672114e-11,map_converged
exact,picard,0.3333333333333333,0.06666666666666667,True,True,True,27,9.886047536156184e-11,3.750266763802301e-11,map_converged
