model,deficit_lower,deficit_upper,deficit_median,count,prediction_rmse,prediction_mse,absolute_error_q99,maximum_error,residual_rmse,residual_max,capped_residual_rmse
lambda_1,3.1622776601683795e-09,1e-08,5.678840619971481e-09,5133,8.42476528076982e-05,7.0976670036064585e-09,0.00010669078905532815,0.0001109192082004995,1.236461635774901e-08,1.5022633914618666e-08,2.7476925239442247e-09
lambda_1,1e-08,3.162277660168379e-08,1.7580567890362886e-08,355,3.6688469437875676e-05,1.3460437896939376e-09,6.0481960566471923e-05,6.216377432721742e-05,6.981536704031172e-09,1.0893808077838685e-08,1.551452600895816e-09
lambda_1,3.162277660168379e-08,1e-07,5.624131427239831e-08,395,2.231773655425499e-05,4.980813649051293e-10,3.760107341211239e-05,4.298387914131174e-05,8.217637617508538e-09,1.65007172370224e-08,1.8261416927796755e-09
lambda_1,1e-07,3.162277660168379e-07,1.6757689202950843e-07,373,2.8022709724108144e-05,7.852722602816251e-10,4.1084738564252076e-05,4.5416116256191685e-05,1.4735705401670904e-08,2.0303868364379696e-08,3.2746012003713113e-09
lambda_1,3.162277660168379e-07,1e-06,5.865950366001904e-07,362,2.3432685492969197e-05,5.490907494124091e-10,3.323586835977998e-05,3.4776743314035574e-05,2.6973955615855907e-08,4.1496619807013246e-08,5.994212359079091e-09
lambda_1,1e-06,3.162277660168379e-06,1.680231441869573e-06,417,1.5794153861245767e-05,2.4945529619270455e-10,2.73929724033195e-05,3.2669317617362026e-05,2.989514923297457e-08,6.141481134758209e-08,6.643366496216571e-09
lambda_1,3.162277660168379e-06,1e-05,5.475771237439808e-06,387,1.4095309820335626e-05,1.9867775893124995e-10,2.2680123822347296e-05,2.5275680674397005e-05,4.557157721848242e-08,7.597499074307734e-08,1.012701715966276e-08
lambda_1,1e-05,3.1622776601683795e-05,1.7841830631915023e-05,371,1.0197150197452817e-05,1.0398187214941203e-10,1.7912138960607392e-05,1.9109769795910836e-05,5.8052857740339805e-08,9.70643310171937e-08,1.2900635053408846e-08
lambda_1,3.1622776601683795e-05,0.0001,5.622764280233117e-05,362,6.594014157681857e-06,4.348102271170876e-11,1.2661156106847926e-05,1.7102152474357535e-05,6.729675166178646e-08,1.482092553128922e-07,1.495483370261921e-08
lambda_1,0.0001,0.00031622776601683794,0.00017371794170117916,361,3.968916000759142e-06,1.5752294221081945e-11,8.355263115333837e-06,1.2405386382308148e-05,7.381128392225735e-08,2.943872968730332e-07,1.640250753827941e-08
lambda_1,0.00031622776601683794,0.001,0.0005575860395878873,373,2.371562259842547e-06,5.6243075523094876e-12,5.939925277083088e-06,6.377887523889569e-06,7.695450881573456e-08,2.203721666260705e-07,1.7101001959052117e-08
lambda_1,0.001,0.0031622776601683794,0.0017687156880324961,374,1.6940510898668797e-06,2.8698090950791633e-12,5.6671648822614876e-06,6.736563268106011e-06,9.828609966313267e-08,3.7584391887612867e-07,2.1841355480696132e-08
lambda_1,0.0031622776601683794,0.01,0.005661078524180407,420,1.3432204199163626e-06,1.8042410964802894e-12,3.306568893584605e-06,4.2284230268307965e-06,1.4287468110076333e-07,5.153660308510055e-07,3.1749929133502924e-08
lambda_1,0.01,0.03162277660168379,0.017846578982297467,466,1.117606045182002e-06,1.2490432722273554e-12,2.656846093707089e-06,3.05809659906231e-06,1.9456266508760263e-07,6.162544083920807e-07,4.323614779724496e-08
lambda_1,0.03162277660168379,0.1,0.060401995552914034,590,1.1796764994074782e-06,1.391636643254282e-12,3.8693602613903995e-06,9.744424120938788e-06,3.568408110789209e-07,2.293442266432244e-06,7.929795801753659e-08
lambda_1,0.1,0.31622776601683794,0.20663173307118948,758,8.894140773834879e-07,7.91057401047921e-13,2.3409431982612806e-06,3.6035564683345456e-06,4.603284053554682e-07,1.5689018774134311e-06,1.0229520119010288e-07
lambda_1,0.31622776601683794,1.0,0.9994832279117276,13636,4.6242221957774586e-07,2.13834309159209e-13,1.365821712051571e-06,2.955429928563902e-06,4.3517165072669355e-07,2.7615882915305034e-06,9.67048112725973e-08
